Date,Average Temperature,Maximum temperature,Minimum temperature,Average relative humidity,Total rainfall,Average wind speed,AverageÂ visibility,Average pH,Maximam pH,Minimum pH,Average Sanility,Maximam Sanility,Minimum Sanility,Disease_Presence_Prob,Disease_Presence_Pred,Predicted_Disease_Type
2025-01-14,28.445116,34.232494,24.484528,75.00496,0.9001297,19.913372,3.1081946,6.309678,8.246268,4.9984255,0.39864594,1.2006954,0.07775319,0.0,0,Brown Spot
2025-01-15,28.325108,33.93616,24.486446,75.73837,1.3691614,19.86883,3.2047746,6.3097715,8.246446,4.998468,0.39823154,1.2005134,0.077997066,0.0,0,Blast
2025-01-16,28.235388,33.692905,24.497652,76.248795,1.6876116,19.816135,3.3120847,6.3098674,8.2466955,4.998536,0.3978694,1.2004884,0.07807542,0.0,0,Bacterial Leaf Blight
2025-01-17,28.179518,33.519165,24.514874,76.52323,1.8585244,19.763659,3.4083416,6.309957,8.246989,4.998618,0.39761633,1.2005888,0.07803085,0.0,0,Sheath Blight
2025-01-18,28.155993,33.41484,24.537128,76.59379,1.8964642,19.718271,3.488133,6.3100224,8.247298,4.9987288,0.39745754,1.2007892,0.077918425,0.0,0,Brown Spot
2025-01-19,28.159328,33.37534,24.562584,76.53484,1.8376267,19.685833,3.5549195,6.3100705,8.247578,4.9988513,0.3973944,1.2010479,0.07776341,0.0,0,Blast
2025-01-20,28.183033,33.38532,24.5932,76.413536,1.7057953,19.670118,3.6201553,6.3100905,8.247812,4.998995,0.3973723,1.2013359,0.0776292,0.0,0,Bacterial Leaf Blight
2025-01-21,28.213215,33.417675,24.621271,76.258125,1.5451503,19.666502,3.6681962,6.310088,8.24799,4.9991317,0.3974071,1.2015797,0.077554114,0.0,0,Sheath Blight
2025-01-22,28.239765,33.452007,24.643661,76.117905,1.3947107,19.671185,3.6989968,6.3100758,8.24811,4.999252,0.39747378,1.201753,0.077543184,0.0,0,Sheath Blight
2025-01-23,28.258055,33.47701,24.66168,76.03865,1.2762023,19.682224,3.7232301,6.3100643,8.2481785,4.999355,0.39753616,1.2018576,0.07759138,0.0,0,Sheath Blight
2025-01-24,28.265713,33.484695,24.676262,76.03385,1.1978408,19.696547,3.7460198,6.310058,8.248208,4.999437,0.39757514,1.2018963,0.07768727,0.0,0,Sheath Blight
2025-01-25,28.26234,33.47123,24.687426,76.095116,1.157637,19.710178,3.7695725,6.310061,8.248209,4.999497,0.3975821,1.2018787,0.07780237,0.0,0,Sheath Blight
2025-01-26,28.250483,33.439983,24.696468,76.20788,1.1471331,19.721022,3.7973163,6.310073,8.248196,4.9995384,0.3975523,1.2018276,0.0779106,0.0,0,Brown Spot
2025-01-27,28.234741,33.398247,24.70624,76.35041,1.1485717,19.728981,3.83498,6.31009,8.24818,4.9995704,0.39748463,1.2017702,0.0780017,0.0,0,Blast
2025-01-28,28.215124,33.348164,24.712383,76.48211,1.1619724,19.731478,3.8641446,6.3101063,8.24817,4.9995813,0.39742598,1.2016954,0.078069106,0.0,0,Brown Spot
2025-01-29,28.198418,33.302452,24.72073,76.607544,1.1663121,19.73204,3.902682,6.310125,8.24817,4.999593,0.39734924,1.2016476,0.07810236,0.0,0,Blast
2025-01-30,28.187096,33.2659,24.731327,76.70727,1.1530364,19.731556,3.9450164,6.3101416,8.24818,4.999604,0.39726737,1.2016276,0.07810358,0.0,0,Blast
2025-01-31,28.181654,33.240547,24.743351,76.77091,1.1201849,19.730795,3.9865441,6.3101525,8.2482,4.999617,0.39719275,1.2016314,0.078082405,0.0,0,Blast
2025-02-01,28.178913,33.220894,24.752369,76.78646,1.0750867,19.727722,4.0140414,6.3101573,8.248222,4.9996266,0.3971405,1.2016366,0.078039296,0.0,0,Bacterial Leaf Blight
2025-02-02,28.179125,33.210266,24.759935,76.77644,1.024171,19.725214,4.035746,6.3101554,8.248246,4.9996386,0.39711317,1.201652,0.07799554,0.0,0,Sheath Blight
2025-02-03,28.181318,33.20671,24.766108,76.751816,0.9713951,19.723936,4.052373,6.3101482,8.248265,4.9996514,0.39710695,1.2016712,0.07795793,0.0,0,Sheath Blight
2025-02-04,28.184229,33.207424,24.770926,76.72266,0.92080534,19.724014,4.065111,6.310138,8.248277,4.9996643,0.39711556,1.2016885,0.077930555,0.0,0,Bacterial Leaf Blight
2025-02-05,28.186768,33.209705,24.774519,76.69694,0.87553734,19.72526,4.0753374,6.310127,8.24828,4.9996758,0.39713222,1.2017004,0.0779148,0.0,0,Brown Spot
2025-02-06,28.18819,33.211388,24.777084,76.67961,0.8374262,19.727285,4.084315,6.3101163,8.248276,4.9996843,0.39715102,1.2017047,0.07790977,0.0,0,Bacterial Leaf Blight
2025-02-07,28.18814,33.211082,24.778854,76.67258,0.80693245,19.729631,4.093028,6.310107,8.248265,4.9996905,0.39716744,1.2017018,0.07791305,0.0,0,Sheath Blight
2025-02-08,28.186634,33.208233,24.78007,76.67507,0.78335434,19.73188,4.102077,6.3101,8.248252,4.999694,0.3971789,1.2016927,0.07792151,0.0,0,Sheath Blight
2025-02-09,28.18397,33.203003,24.780937,76.684586,0.76519525,19.733717,4.1116776,6.310095,8.248239,4.9996953,0.39718446,1.20168,0.07793197,0.0,0,Blast
2025-02-10,28.180603,33.19604,24.781635,76.697716,0.75060725,19.734974,4.121715,6.3100915,8.248225,4.999695,0.39718473,1.2016656,0.07794183,0.0,0,Blast
2025-02-11,28.17702,33.188255,24.782257,76.71101,0.7378057,19.735605,4.1318493,6.310089,8.248215,4.9996934,0.39718112,1.2016519,0.077949286,0.0,0,Blast
2025-02-12,28.173655,33.18055,24.782854,76.7217,0.7253622,19.735697,4.1416464,6.310087,8.248207,4.999692,0.39717555,1.2016405,0.07795367,0.0,0,Sheath Blight
2025-02-13,28.1708,33.173676,24.783419,76.728,0.71237606,19.73539,4.1506824,6.3100853,8.248202,4.999691,0.39716998,1.2016318,0.07795495,0.0,0,Bacterial Leaf Blight
2025-02-14,28.168602,33.168114,24.783916,76.72927,0.6985152,19.734856,4.158639,6.310083,8.2482,4.99969,0.39716586,1.2016261,0.07795378,0.0,0,Brown Spot
2025-02-15,28.167068,33.164043,24.784292,76.72589,0.68390256,19.734257,4.165352,6.3100796,8.248199,4.9996896,0.39716417,1.2016228,0.07795107,0.0,0,Bacterial Leaf Blight
2025-02-16,28.166092,33.161377,24.78451,76.718925,0.6689799,19.733717,4.1708097,6.310076,8.2481985,4.9996896,0.39716515,1.2016213,0.07794785,0.0,0,Bacterial Leaf Blight
2025-02-17,28.165504,33.15986,24.784546,76.70983,0.65432626,19.733324,4.17514,6.3100724,8.248198,4.99969,0.39716855,1.2016207,0.07794499,0.0,0,Brown Spot
2025-02-18,28.165134,33.15912,24.7844,76.70004,0.6405135,19.733109,4.178548,6.310068,8.248196,4.9996905,0.39717376,1.2016202,0.07794311,0.0,0,Brown Spot
2025-02-19,28.164804,33.15878,24.784088,76.690796,0.6279871,19.733051,4.181276,6.310064,8.248194,4.999691,0.39718,1.2016193,0.07794246,0.0,0,Bacterial Leaf Blight
2025-02-20,28.164402,33.158524,24.783634,76.6829,0.61701417,19.733112,4.1835546,6.31006,8.24819,4.9996915,0.3971864,1.2016176,0.077942945,0.0,0,Sheath Blight
2025-02-21,28.16386,33.15812,24.783081,76.67674,0.6076456,19.73323,4.185578,6.3100567,8.248186,4.9996915,0.39719233,1.2016152,0.07794437,0.0,0,Brown Spot
2025-02-22,28.163162,33.157463,24.78247,76.67229,0.59977525,19.733358,4.187476,6.310054,8.248182,4.999691,0.39719737,1.2016121,0.07794636,0.0,0,Brown Spot
2025-02-23,28.162344,33.156536,24.781832,76.66924,0.59317,19.733442,4.189318,6.310051,8.248178,4.9996905,0.3972014,1.2016087,0.07794853,0.0,0,Bacterial Leaf Blight
2025-02-24,28.161455,33.155415,24.781195,76.66714,0.5875365,19.73346,4.191117,6.310049,8.248174,4.9996896,0.3972044,1.2016051,0.077950545,0.0,0,Brown Spot
2025-02-25,28.160555,33.15419,24.780577,76.66547,0.5826001,19.7334,4.1928434,6.310047,8.24817,4.9996886,0.39720657,1.2016016,0.07795218,0.0,0,Bacterial Leaf Blight
2025-02-26,28.159706,33.15299,24.77998,76.663795,0.5781108,19.733269,4.1944537,6.3100457,8.248167,4.9996877,0.39720824,1.2015986,0.077953294,0.0,0,Bacterial Leaf Blight
2025-02-27,28.158947,33.15191,24.779408,76.661835,0.57389605,19.73308,4.195897,6.3100443,8.248165,4.9996867,0.39720964,1.2015961,0.07795391,0.0,0,Blast
2025-02-28,28.158297,33.15102,24.778852,76.65944,0.56987077,19.732862,4.1971374,6.310043,8.248163,4.9996862,0.39721107,1.2015941,0.07795413,0.0,0,Sheath Blight
2025-03-01,28.15776,33.15035,24.778305,76.6566,0.5660077,19.732632,4.198154,6.3100414,8.248161,4.999686,0.39721262,1.2015926,0.077954054,0.0,0,Blast
2025-03-02,28.157322,33.149895,24.777761,76.65346,0.5623259,19.732409,4.198953,6.31004,8.248159,4.999685,0.3972144,1.2015914,0.07795382,0.0,0,Brown Spot
2025-03-03,28.15696,33.14962,24.777218,76.65016,0.5588801,19.732204,4.1995535,6.310039,8.248158,4.999685,0.39721638,1.2015904,0.077953584,0.0,0,Brown Spot
2025-03-04,28.156654,33.149475,24.77667,76.6469,0.55572057,19.73203,4.1999893,6.3100376,8.2481575,4.9996843,0.39721853,1.2015896,0.077953435,0.0,0,Blast
2025-03-05,28.156372,33.1494,24.776125,76.64383,0.5528909,19.731882,4.2002964,6.310036,8.248157,4.999684,0.39722073,1.2015887,0.07795345,0.0,0,Blast
2025-03-06,28.156096,33.14936,24.775581,76.641075,0.55042106,19.731756,4.2005124,6.310035,8.248155,4.999684,0.39722285,1.2015879,0.07795361,0.0,0,Blast
2025-03-07,28.155819,33.14932,24.775047,76.638695,0.54830724,19.731647,4.2006707,6.3100343,8.248154,4.9996834,0.39722487,1.2015871,0.077953905,0.0,0,Brown Spot
2025-03-08,28.155535,33.149246,24.774527,76.636696,0.5465191,19.731546,4.2007923,6.3100333,8.248153,4.999683,0.3972267,1.2015861,0.07795426,0.0,0,Bacterial Leaf Blight
2025-03-09,28.155243,33.149147,24.774021,76.635025,0.5450228,19.731447,4.200891,6.310033,8.248151,4.9996824,0.39722827,1.2015852,0.07795464,0.0,0,Brown Spot
2025-03-10,28.154951,33.149017,24.773537,76.633606,0.5437651,19.731342,4.200974,6.310032,8.24815,4.9996824,0.39722964,1.2015843,0.07795498,0.0,0,Blast
2025-03-11,28.154667,33.148876,24.773071,76.63238,0.5426943,19.731234,4.201041,6.3100314,8.248149,4.999682,0.39723083,1.2015835,0.07795527,0.0,0,Sheath Blight
2025-03-12,28.154396,33.14874,24.772629,76.631256,0.54177,19.73112,4.2010884,6.310031,8.248148,4.9996815,0.39723188,1.2015827,0.07795546,0.0,0,Sheath Blight
2025-03-13,28.154146,33.148613,24.772207,76.630196,0.540951,19.731,4.2011123,6.3100305,8.248147,4.999681,0.3972328,1.2015821,0.07795557,0.0,0,Blast
2025-03-14,28.153917,33.148514,24.771805,76.62916,0.5402182,19.73088,4.2011075,6.31003,8.248147,4.999681,0.39723364,1.2015815,0.077955596,0.0,0,Brown Spot
2025-03-15,28.15371,33.14844,24.77142,76.62812,0.5395586,19.73076,4.201072,6.3100295,8.248146,4.9996805,0.39723447,1.201581,0.077955574,0.0,0,Blast
2025-03-16,28.153522,33.1484,24.77105,76.62712,0.5389644,19.730646,4.2010083,6.3100295,8.248146,4.9996805,0.39723527,1.2015806,0.07795552,0.0,0,Sheath Blight
2025-03-17,28.153353,33.14838,24.770695,76.62615,0.53843796,19.730536,4.2009196,6.310029,8.248145,4.9996805,0.39723605,1.2015803,0.077955455,0.0,0,Bacterial Leaf Blight
2025-03-18,28.153198,33.14838,24.770353,76.62524,0.53797936,19.730434,4.2008123,6.3100286,8.248145,4.99968,0.3972368,1.2015799,0.0779554,0.0,0,Sheath Blight
2025-03-19,28.15305,33.148388,24.770023,76.62438,0.5375941,19.730341,4.2006903,6.3100286,8.248145,4.99968,0.3972375,1.2015797,0.07795536,0.0,0,Blast
2025-03-20,28.152908,33.1484,24.76971,76.62363,0.5372774,19.730251,4.200561,6.310028,8.248144,4.99968,0.3972382,1.2015795,0.07795534,0.0,0,Bacterial Leaf Blight
2025-03-21,28.152773,33.14841,24.769411,76.622955,0.5370253,19.73017,4.200427,6.310028,8.248144,4.9996796,0.39723882,1.2015792,0.07795533,0.0,0,Bacterial Leaf Blight
2025-03-22,28.152643,33.148415,24.769121,76.622375,0.5368347,19.730091,4.2002945,6.3100276,8.248144,4.9996796,0.39723942,1.201579,0.07795533,0.0,0,Brown Spot
2025-03-23,28.152512,33.148415,24.768847,76.62188,0.5366955,19.730017,4.2001653,6.3100276,8.248143,4.9996796,0.39723992,1.2015787,0.07795533,0.0,0,Sheath Blight
2025-03-24,28.15239,33.14841,24.768587,76.621445,0.5366009,19.729944,4.2000403,6.3100276,8.248143,4.9996796,0.3972404,1.2015786,0.07795533,0.0,0,Bacterial Leaf Blight
2025-03-25,28.152267,33.148403,24.768337,76.62106,0.5365394,19.729872,4.199918,6.310027,8.248143,4.999679,0.39724082,1.2015784,0.07795531,0.0,0,Blast
2025-03-26,28.152153,33.14839,24.7681,76.62073,0.5365024,19.729805,4.1998014,6.310027,8.248143,4.999679,0.39724118,1.2015783,0.07795528,0.0,0,Sheath Blight
2025-03-27,28.152042,33.148384,24.767876,76.620415,0.53648794,19.729736,4.199686,6.310027,8.248142,4.999679,0.3972415,1.2015781,0.07795524,0.0,0,Bacterial Leaf Blight
2025-03-28,28.151943,33.148373,24.767664,76.62013,0.5364852,19.729673,4.199574,6.310027,8.248142,4.999679,0.39724183,1.2015779,0.077955194,0.0,0,Blast
2025-03-29,28.151846,33.14837,24.767462,76.61987,0.5364915,19.729609,4.199464,6.310027,8.248142,4.999679,0.3972421,1.2015779,0.07795513,0.0,0,Bacterial Leaf Blight
2025-03-30,28.151752,33.14837,24.76727,76.61961,0.5365079,19.72955,4.1993556,6.310027,8.248142,4.999679,0.39724237,1.2015778,0.07795507,0.0,0,Brown Spot
2025-03-31,28.151669,33.14837,24.767086,76.619385,0.53652954,19.729492,4.1992493,6.3100266,8.248142,4.999679,0.39724264,1.2015777,0.077955,0.0,0,Sheath Blight
2025-04-01,28.151588,33.14837,24.766912,76.61918,0.5365637,19.729439,4.1991444,6.3100266,8.248142,4.999679,0.39724287,1.2015777,0.07795493,0.0,0,Brown Spot
2025-04-02,28.151514,33.148373,24.766747,76.61898,0.53660196,19.729387,4.199044,6.3100266,8.248142,4.9996786,0.39724308,1.2015775,0.07795487,0.0,0,Blast
2025-04-03,28.15144,33.148376,24.766588,76.61881,0.5366477,19.729342,4.198946,6.3100266,8.248142,4.9996786,0.3972433,1.2015775,0.077954814,0.0,0,Brown Spot
2025-04-04,28.151371,33.148376,24.766438,76.61867,0.53670233,19.729296,4.1988516,6.3100266,8.248142,4.9996786,0.3972435,1.2015774,0.07795475,0.0,0,Bacterial Leaf Blight
2025-04-05,28.151306,33.14838,24.766294,76.61853,0.53676057,19.729252,4.1987643,6.3100266,8.248142,4.9996786,0.39724368,1.2015774,0.077954695,0.0,0,Bacterial Leaf Blight
2025-04-06,28.151241,33.14838,24.766157,76.61842,0.53682405,19.72921,4.1986794,6.3100266,8.248142,4.9996786,0.39724383,1.2015774,0.07795465,0.0,0,Blast
2025-04-07,28.15118,33.148376,24.76603,76.61832,0.536888,19.729172,4.198599,6.3100266,8.248142,4.9996786,0.39724398,1.2015773,0.0779546,0.0,0,Bacterial Leaf Blight
2025-04-08,28.151117,33.148376,24.765903,76.61824,0.53695446,19.729136,4.198523,6.3100266,8.248142,4.9996786,0.39724413,1.2015773,0.077954546,0.0,0,Brown Spot
2025-04-09,28.151062,33.148376,24.765789,76.618164,0.53702503,19.729095,4.1984506,6.3100266,8.248142,4.9996786,0.39724424,1.2015773,0.07795449,0.0,0,Blast
2025-04-10,28.151009,33.148373,24.765676,76.6181,0.53709173,19.729063,4.198384,6.3100266,8.248142,4.9996786,0.39724436,1.2015773,0.077954434,0.0,0,Bacterial Leaf Blight
2025-04-11,28.150957,33.14837,24.765572,76.618034,0.5371565,19.729029,4.198318,6.3100266,8.248142,4.9996786,0.39724445,1.2015772,0.07795438,0.0,0,Sheath Blight
2025-04-12,28.150908,33.14837,24.76547,76.61798,0.53721833,19.728998,4.1982584,6.3100266,8.248142,4.9996786,0.39724454,1.2015772,0.07795434,0.0,0,Bacterial Leaf Blight
2025-04-13,28.150864,33.148365,24.765375,76.61793,0.53728044,19.728968,4.1982007,6.3100266,8.248142,4.9996786,0.39724463,1.2015772,0.07795428,0.0,0,Brown Spot
2025-04-14,28.150818,33.148365,24.765282,76.61788,0.53733975,19.72894,4.1981454,6.3100266,8.248142,4.9996786,0.39724472,1.2015772,0.07795423,0.0,0,Blast
2025-04-15,28.150776,33.14836,24.765196,76.61784,0.537395,19.72891,4.1980934,6.3100266,8.248142,4.9996786,0.3972448,1.2015772,0.07795419,0.0,0,Blast
2025-04-16,28.150736,33.14836,24.765112,76.6178,0.53745216,19.728886,4.198044,6.3100266,8.248142,4.9996786,0.3972449,1.2015772,0.07795414,0.0,0,Bacterial Leaf Blight
2025-04-17,28.1507,33.148354,24.765036,76.61777,0.53750277,19.728859,4.1979976,6.3100266,8.248142,4.9996786,0.39724496,1.2015772,0.0779541,0.0,0,Blast
2025-04-18,28.150661,33.148354,24.764961,76.61774,0.5375547,19.728838,4.1979547,6.3100266,8.248142,4.9996786,0.39724502,1.2015772,0.077954054,0.0,0,Blast
2025-04-19,28.150627,33.14835,24.764889,76.617714,0.5376012,19.728815,4.1979136,6.3100266,8.248142,4.9996786,0.39724508,1.2015772,0.07795401,0.0,0,Blast
2025-04-20,28.150595,33.14835,24.76482,76.61768,0.5376507,19.728792,4.1978736,6.3100266,8.248142,4.9996786,0.39724514,1.2015772,0.07795397,0.0,0,Bacterial Leaf Blight
2025-04-21,28.150562,33.148346,24.764757,76.61766,0.53769445,19.728773,4.1978374,6.3100266,8.248142,4.9996786,0.3972452,1.2015771,0.077953935,0.0,0,Brown Spot
2025-04-22,28.150532,33.148342,24.764694,76.617645,0.53773874,19.728754,4.197804,6.3100266,8.248142,4.9996786,0.39724526,1.2015771,0.0779539,0.0,0,Bacterial Leaf Blight
2025-04-23,28.150505,33.148342,24.764637,76.61763,0.5377784,19.728737,4.197771,6.3100266,8.248142,4.9996786,0.3972453,1.2015771,0.07795386,0.0,0,Blast
2025-04-24,28.150476,33.14834,24.76458,76.617615,0.537818,19.728718,4.197741,6.3100266,8.248142,4.9996786,0.39724535,1.2015771,0.07795383,0.0,0,Blast
2025-04-25,28.150448,33.14834,24.764526,76.61759,0.5378533,19.7287,4.1977115,6.3100266,8.248142,4.9996786,0.39724538,1.2015771,0.07795379,0.0,0,Brown Spot
2025-04-26,28.150423,33.14834,24.764477,76.617584,0.5378875,19.728683,4.1976857,6.3100266,8.248142,4.9996786,0.3972454,1.2015771,0.077953756,0.0,0,Brown Spot
2025-04-27,28.150398,33.148335,24.764427,76.61756,0.5379192,19.728668,4.1976604,6.3100266,8.248142,4.9996786,0.39724547,1.2015771,0.07795373,0.0,0,Blast
2025-04-28,28.150377,33.148335,24.764381,76.617546,0.5379493,19.728651,4.1976357,6.3100266,8.248142,4.9996786,0.3972455,1.2015771,0.0779537,0.0,0,Brown Spot
2025-04-29,28.150356,33.148335,24.764336,76.61754,0.5379788,19.728642,4.1976137,6.3100266,8.248142,4.9996786,0.39724553,1.2015771,0.077953674,0.0,0,Sheath Blight
2025-04-30,28.150333,33.14833,24.764296,76.61753,0.5380029,19.728626,4.197592,6.3100266,8.248142,4.9996786,0.39724556,1.2015771,0.07795365,0.0,0,Sheath Blight
2025-05-01,28.150312,33.148327,24.764254,76.61752,0.5380308,19.728613,4.1975713,6.3100266,8.248142,4.9996786,0.3972456,1.2015771,0.07795363,0.0,0,Sheath Blight
2025-05-02,28.150293,33.148327,24.764215,76.61751,0.53805566,19.728601,4.1975536,6.3100266,8.248142,4.9996786,0.39724562,1.2015771,0.07795361,0.0,0,Sheath Blight
2025-05-03,28.150274,33.148327,24.76418,76.6175,0.53807753,19.72859,4.197536,6.3100266,8.248142,4.9996786,0.39724565,1.2015771,0.07795358,0.0,0,Bacterial Leaf Blight
2025-05-04,28.150259,33.148323,24.764145,76.61749,0.5380989,19.72858,4.197519,6.3100266,8.248142,4.9996786,0.39724568,1.2015771,0.077953555,0.0,0,Bacterial Leaf Blight
2025-05-05,28.15024,33.148323,24.76411,76.617485,0.53811884,19.728569,4.1975045,6.3100266,8.248142,4.9996786,0.3972457,1.2015771,0.07795353,0.0,0,Blast
2025-05-06,28.150225,33.148323,24.76408,76.61747,0.5381369,19.728558,4.1974897,6.3100266,8.248142,4.9996786,0.3972457,1.2015771,0.07795352,0.0,0,Brown Spot
2025-05-07,28.150213,33.148323,24.76405,76.61746,0.538153,19.728548,4.197476,6.3100266,8.248142,4.9996786,0.39724573,1.2015771,0.077953495,0.0,0,Brown Spot
2025-05-08,28.150198,33.14832,24.76402,76.61746,0.53816617,19.728539,4.1974635,6.3100266,8.248142,4.9996786,0.39724576,1.2015771,0.07795348,0.0,0,Blast
2025-05-09,28.15018,33.14832,24.763994,76.61745,0.53818226,19.72853,4.1974506,6.3100266,8.248142,4.9996786,0.39724576,1.2015771,0.077953465,0.0,0,Bacterial Leaf Blight
2025-05-10,28.15017,33.14832,24.76397,76.61743,0.5381968,19.728523,4.1974397,6.3100266,8.248142,4.9996786,0.3972458,1.2015771,0.07795344,0.0,0,Bacterial Leaf Blight
2025-05-11,28.15016,33.14832,24.76394,76.61743,0.5382091,19.728512,4.197429,6.3100266,8.248142,4.9996786,0.3972458,1.2015771,0.07795343,0.0,0,Brown Spot
2025-05-12,28.150148,33.14832,24.763918,76.617424,0.53822136,19.728508,4.197418,6.3100266,8.248142,4.9996786,0.39724582,1.2015771,0.07795341,0.0,0,Blast
2025-05-13,28.150135,33.14832,24.763897,76.61741,0.53823394,19.728498,4.197408,6.3100266,8.248142,4.9996786,0.39724585,1.2015771,0.0779534,0.0,0,Brown Spot
2025-05-14,28.150126,33.14832,24.763872,76.6174,0.53824353,19.728493,4.197399,6.3100266,8.248142,4.9996786,0.39724585,1.2015771,0.07795338,0.0,0,Bacterial Leaf Blight
2025-05-15,28.150114,33.148315,24.763853,76.6174,0.53825283,19.728485,4.1973896,6.3100266,8.248142,4.9996786,0.39724588,1.2015771,0.07795337,0.0,0,Brown Spot
2025-05-16,28.150105,33.14832,24.763832,76.61739,0.5382635,19.728477,4.1973825,6.3100266,8.248142,4.9996786,0.39724588,1.2015771,0.07795336,0.0,0,Sheath Blight
2025-05-17,28.150095,33.148315,24.763815,76.617386,0.5382695,19.728474,4.1973753,6.3100266,8.248142,4.9996786,0.3972459,1.2015771,0.077953346,0.0,0,Blast
2025-05-18,28.150085,33.14832,24.763796,76.61738,0.53827715,19.728468,4.1973686,6.3100266,8.248142,4.9996786,0.3972459,1.2015771,0.07795333,0.0,0,Blast
2025-05-19,28.15008,33.148315,24.763779,76.61737,0.53828704,19.72846,4.197361,6.3100266,8.248142,4.9996786,0.39724594,1.2015771,0.07795333,0.0,0,Sheath Blight
2025-05-20,28.15007,33.148315,24.763762,76.61736,0.5382933,19.728455,4.1973553,6.3100266,8.248142,4.9996786,0.39724594,1.2015771,0.07795331,0.0,0,Bacterial Leaf Blight
2025-05-21,28.15006,33.148315,24.763746,76.61736,0.53829795,19.72845,4.1973495,6.3100266,8.248142,4.9996786,0.39724594,1.2015771,0.07795331,0.0,0,Sheath Blight
2025-05-22,28.150055,33.148315,24.763731,76.61735,0.5383045,19.728447,4.1973433,6.3100266,8.248142,4.9996786,0.39724597,1.2015771,0.077953294,0.0,0,Brown Spot
2025-05-23,28.15005,33.148315,24.763716,76.61735,0.5383122,19.728441,4.197337,6.3100266,8.248142,4.9996786,0.39724597,1.2015771,0.07795329,0.0,0,Bacterial Leaf Blight
2025-05-24,28.150042,33.148315,24.763702,76.61733,0.53831464,19.728437,4.197333,6.3100266,8.248142,4.9996786,0.39724597,1.2015771,0.07795328,0.0,0,Brown Spot
2025-05-25,28.150036,33.148315,24.76369,76.61733,0.5383198,19.728432,4.1973267,6.3100266,8.248142,4.9996786,0.397246,1.2015771,0.07795327,0.0,0,Bacterial Leaf Blight
2025-05-26,28.150026,33.14832,24.763676,76.617325,0.5383248,19.72843,4.1973233,6.3100266,8.248142,4.9996786,0.397246,1.2015771,0.077953264,0.0,0,Sheath Blight
2025-05-27,28.150024,33.14832,24.763664,76.61731,0.53833133,19.728424,4.197319,6.3100266,8.248142,4.9996786,0.39724603,1.2015771,0.07795326,0.0,0,Blast
2025-05-28,28.150017,33.14832,24.76365,76.61731,0.53833294,19.728418,4.1973157,6.3100266,8.248142,4.9996786,0.39724603,1.2015771,0.07795325,0.0,0,Brown Spot
2025-05-29,28.150011,33.14832,24.763641,76.6173,0.53833705,19.728416,4.1973104,6.3100266,8.248142,4.9996786,0.39724603,1.2015771,0.07795324,0.0,0,Brown Spot
